,Datetime,Open,High,Low,Close,Vol
0,2021-09-24 08:00:00,3087.68,3114.0,2733.0,2877.13,644534.0459
1,2021-09-24 16:00:00,2877.08,2979.99,2862.08,2928.53,152104.4615
2,2021-09-25 00:00:00,2928.22,2955.46,2873.33,2887.38,124460.2564
3,2021-09-25 08:00:00,2887.39,2967.52,2801.57,2922.23,246011.1733
4,2021-09-25 16:00:00,2921.98,2946.14,2852.0,2921.73,121502.5929
5,2021-09-26 00:00:00,2921.84,2931.6,2738.17,2772.77,196755.0977
6,2021-09-26 08:00:00,2773.06,3056.76,2738.45,3053.17,356596.7051
7,2021-09-26 16:00:00,3053.36,3115.51,3011.0,3059.37,150242.6752
8,2021-09-27 00:00:00,3059.36,3164.94,3027.3,3091.29,177713.8702
9,2021-09-27 08:00:00,3091.1,3137.8,3032.0,3044.15,164906.2114
