,Datetime,Open,High,Low,Close,Vol
0,2021-09-24 08:00:00,44818.46,45075.0,40675.0,41944.01,53739.88501
1,2021-09-24 16:00:00,41944.0,43200.0,41742.01,42810.57,13277.42917
2,2021-09-25 00:00:00,42810.58,42950.0,42024.54,42372.02,10464.67083
3,2021-09-25 08:00:00,42369.52,42966.84,41646.28,42669.96,15517.06247
4,2021-09-25 16:00:00,42669.97,42813.34,42348.39,42670.64,7612.83859
5,2021-09-26 00:00:00,42670.63,42735.05,40750.0,41231.34,15204.79972
6,2021-09-26 08:00:00,41227.07,43746.9,41037.13,43343.73,23032.8698
7,2021-09-26 16:00:00,43343.73,43950.0,42673.67,43160.9,11642.32813
8,2021-09-27 00:00:00,43160.9,44350.0,42933.0,43688.03,12674.03904
9,2021-09-27 08:00:00,43685.34,44129.28,43045.53,43105.53,13699.6661
